#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
MYS,Malaysia,39006,"Population living below income poverty line, national poverty line (%)",0.4,2008-2019
MYS,Malaysia,43606,"Internet users, total (% of population)",81.2017,2018
MYS,Malaysia,45806,Primary school teachers trained to teach (%),97.29857,2010-2019
MYS,Malaysia,46006,Mobile phone subscriptions (per 100 people),134.526,2018
MYS,Malaysia,46106,Primary school dropout rate (% of primary school cohort),3.62044,2008-2018
MYS,Malaysia,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",11.6556,2010-2019
MYS,Malaysia,52306,Research and development expenditure (% of GDP),1.43665,2014-2018
MYS,Malaysia,52606,"Remittances, inflows (% of GDP)",0.4547974,2014-2019
MYS,Malaysia,53506,"Foreign direct investment, net inflows (% of GDP)",2.389996,2011-2019
MYS,Malaysia,57806,"Mortality rate, female adult (per 1,000 people)",84.296,2014-2018
MYS,Malaysia,57906,"Mortality rate, male adult (per 1,000 people)",160.383,2014-2018
MYS,Malaysia,61006,"Homicide rate (per 100,000 people)",2.127665134,2013-2018
MYS,Malaysia,63206,"Gross enrolment ratio, primary (% of primary school-age population)",105.2916,2014-2019
MYS,Malaysia,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",81.99226,2014-2019
MYS,Malaysia,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",45.12539,2014-2019
MYS,Malaysia,65606,Gross fixed capital formation (% of GDP),22.95572111,2014-2019
MYS,Malaysia,67106,"Income inequality, Gini coefficient",41,2010-2018
MYS,Malaysia,97106,Fresh water withdrawals (% of total renewable water resources),1.16,2007-2017
MYS,Malaysia,97306,Natural resource depletion (% of GNI),4.203953,2015-2018
MYS,Malaysia,98306,"Child malnutrition, stunting (moderate or severe) (% under age 5)",20.7,2010-2019
MYS,Malaysia,99106,Net official development assistance received (% of GNI),-0.0110122,2010-2018
MYS,Malaysia,101406,"Literacy rate, adult (% ages 15 and older)",94.85441,2008-2018
MYS,Malaysia,111106,International inbound tourists (thousands),25832,2011-2018
MYS,Malaysia,111306,Private capital flows (% of GDP),2.319994,2010-2019
MYS,Malaysia,123506,"Estimated gross national income per capita, female (2017 PPP $)",20824.62258,2019
MYS,Malaysia,123606,"Estimated gross national income per capita, male (2017 PPP $)",33877.30487,2019
MYS,Malaysia,123806,Old-age pension recipients (% of statutory pension age population),19.8,2014-2019
MYS,Malaysia,128106,Mandatory paid maternity leave (days),60,2019
MYS,Malaysia,128306,"Prison population (per 100,000 people)",178.1,2013-2018
MYS,Malaysia,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",99.22442,2014-2019
MYS,Malaysia,133206,Exports and imports (% of GDP),123.091,2010-2019
MYS,Malaysia,135106,"Income inequality, quintile ratio",8.155172,2010-2017
MYS,Malaysia,136906,"Human Development Index (HDI), female",0.797492387,2019
MYS,Malaysia,137006,"Human Development Index (HDI), male",0.820637744,2019
MYS,Malaysia,137906,Gender Development Index (GDI),0.971795891,2019
MYS,Malaysia,147206,International student mobility (% of total tertiary enrolment),3.00354,2010-2017
MYS,Malaysia,149206,Government expenditure on education (% of GDP),4.53477,2013-2018
MYS,Malaysia,149406,Homeless people due to natural disaster (average annual per million people),0,2009/2019
MYS,Malaysia,164206,"Forest area, change (%)",-0.745445036,1990/2016
MYS,Malaysia,164406,Adjusted net savings (% of GNI),2.80734,2015-2018
MYS,Malaysia,167106,"Population living below income poverty line, PPP $1.90 a day (%)",0,2008-2018
MYS,Malaysia,174306,Fossil fuel energy consumption (% of total energy consumption),96.6282,2013-2015
MYS,Malaysia,175206,"Antenatal care coverage, at least one visit (%)",97.15,2009-2019
MYS,Malaysia,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",52.2,2009-2019
MYS,Malaysia,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",26.19804,2009-2019
MYS,Malaysia,177706,Survival rate to the last grade of lower secondary general education (%),92.18836,2008-2018
MYS,Malaysia,178106,"Internet users, female (% of female population)",78.7267,2018
MYS,Malaysia,178306,Gross capital formation (% of GDP),20.92205,2015-2019
MYS,Malaysia,179406,Skilled labour force (% of labour force),66.8,2010-2019
MYS,Malaysia,179706,Ratio of education and health expenditure to military expenditure,7.702459,2010-2017
MYS,Malaysia,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",57.32585,2009-2019
MYS,Malaysia,181206,Proportion of births attended by skilled health personnel (%),99.6,2014-2019
MYS,Malaysia,182806,Population using safely managed drinking-water services (%),93,2017
MYS,Malaysia,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",34.16717,2009-2019
MYS,Malaysia,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",65.83283,2009-2019
MYS,Malaysia,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.02762,2009-2019
MYS,Malaysia,185306,Percentage of primary schools with access to the internet,97.2,2010-2019
MYS,Malaysia,185406,Percentage of secondary schools with access to the internet,96.3,2010-2019
MYS,Malaysia,186106,Income share held by richest 1%,14.55,2010-2019
MYS,Malaysia,186806,Average annual change in the share of bottom 40 percent (%),1.498659,2005/2018
MYS,Malaysia,186906,Income share held by poorest 40%,15.9,2010-2018
MYS,Malaysia,187006,Income share held by richest 10 %,31.3,2010-2018
MYS,Malaysia,195206,Population using safely managed sanitation services (%),89,2017
MYS,Malaysia,44206,Total population (millions),36.095052,2030
MYS,Malaysia,47906,Median age (years),30.262,2020
MYS,Malaysia,110806,"Net migration rate (per 1,000 people)",1.596,2020
