Name of Student,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,CLASS
Student 1,4,5,4,5,5,5,5,5,Employable
Student 2,4,4,4,4,4,4,3,5,Employable
Student 3,4,3,3,3,3,3,2,5,LessEmployable
Student 4,3,3,3,2,3,3,3,5,LessEmployable
Student 5,4,4,3,3,4,4,3,5,Employable
Student 6,4,4,3,3,3,3,3,5,Employable
Student 7,4,4,4,3,3,3,3,3,Employable
Student 8,5,3,3,4,3,3,3,5,Employable
Student 9,4,4,4,4,4,4,4,5,Employable
Student 10,4,4,3,4,3,4,4,5,Employable
Student 11,5,5,5,5,5,5,4,5,LessEmployable
Student 12,3,4,4,4,3,4,4,5,Employable
Student 13,4,3,3,2,3,3,2,5,LessEmployable
Student 14,3,3,3,3,3,2,2,4,LessEmployable
Student 15,4,4,3,4,4,4,3,5,LessEmployable
Student 16,3,3,3,3,3,3,3,4,LessEmployable
Student 17,5,3,3,3,3,3,3,4,LessEmployable
Student 18,4,4,4,4,4,4,4,5,LessEmployable
Student 19,4,4,4,5,5,4,4,5,LessEmployable
Student 20,4,3,3,4,5,4,3,5,LessEmployable
Student 21,5,4,5,4,4,4,4,5,Employable
Student 22,5,4,4,4,4,4,4,3,Employable
Student 23,5,4,5,5,5,5,4,5,Employable
Student 24,4,3,3,3,5,3,3,3,LessEmployable
Student 25,5,5,5,5,5,4,4,4,Employable
Student 26,5,5,4,4,5,5,4,3,Employable
Student 27,4,4,4,4,3,3,3,3,LessEmployable
Student 28,5,5,5,5,5,4,4,3,Employable
Student 29,5,4,4,4,4,5,4,5,Employable
Student 30,5,5,5,5,5,5,4,5,Employable
Student 31,4,3,4,4,3,4,3,5,LessEmployable
Student 32,4,3,4,4,3,3,3,3,LessEmployable
Student 33,5,5,4,5,5,4,4,5,LessEmployable
Student 34,4,4,4,5,5,4,3,5,LessEmployable
Student 35,5,4,5,5,5,5,5,5,Employable
Student 36,5,3,3,4,5,3,3,3,Employable
Student 37,5,5,5,5,4,5,4,5,Employable
Student 38,5,5,4,5,4,5,5,5,Employable
Student 39,4,4,3,3,3,4,4,3,LessEmployable
Student 40,5,5,5,5,5,4,4,5,Employable
Student 41,5,5,5,5,5,4,4,5,Employable
Student 42,5,4,5,5,5,4,4,3,Employable
Student 43,5,4,5,5,5,4,4,5,Employable
Student 44,4,3,4,3,4,3,3,5,LessEmployable
Student 45,5,4,5,5,4,4,4,5,LessEmployable
Student 46,5,3,4,4,3,4,3,5,LessEmployable
Student 47,5,3,3,3,4,3,3,3,LessEmployable
Student 48,5,4,5,5,5,4,4,5,Employable
Student 49,5,5,5,5,5,4,4,3,Employable
Student 50,5,4,5,5,5,4,4,5,Employable
Student 51,5,5,5,5,5,5,4,5,Employable
Student 52,5,4,5,5,5,4,4,5,Employable
Student 53,5,5,5,5,5,5,4,5,Employable
Student 54,5,4,5,5,4,4,4,3,Employable
Student 55,5,3,4,4,4,4,3,5,LessEmployable
Student 56,4,4,4,4,3,4,4,5,LessEmployable
Student 57,5,4,5,5,5,4,4,4,Employable
Student 58,4,5,4,4,4,5,4,5,Employable
Student 59,4,3,3,3,3,3,3,5,Employable
Student 60,4,4,4,4,5,4,4,5,LessEmployable
Student 61,3,3,3,4,3,3,3,5,Employable
Student 62,4,4,4,3,3,3,3,5,Employable
Student 63,4,4,4,3,4,3,3,4,LessEmployable
Student 64,4,4,4,4,4,4,4,4,Employable
Student 65,3,3,3,4,3,3,3,5,Employable
Student 66,5,5,3,5,3,5,5,5,Employable
Student 67,4,4,4,4,4,4,4,5,Employable
Student 68,4,5,5,5,5,5,5,5,Employable
Student 69,4,4,4,4,4,4,4,4,Employable
Student 70,4,3,3,3,3,3,3,5,Employable
