Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Size_type,Rooms Num,Property Type Supergroup
Mont Kiara,730000,3,2.0,1.0,Condominium,1208.0,Partly Furnished,Built-up ,3,Condominium
Sri Petaling,580000,3,2.0,2.0,Condominium,1237.0,Fully Furnished,Built-up ,3,Condominium
Jalan Sultan Ismail,670000,2,2.0,1.0,Serviced Residence (Intermediate),890.0,Partly Furnished,Built-up ,2,Serviced Residence
Mont Kiara,820000,1,1.0,1.0,Serviced Residence (SOHO),735.0,Partly Furnished,Built-up ,1,Serviced Residence
Setapak,430000,3+1,3.0,1.0,Condominium (Intermediate),1335.0,Partly Furnished,Built-up ,4,Condominium
Setapak,200000,3,1.0,1.0,Apartment (Intermediate),653.0,Partly Furnished,Built-up ,3,Apartment
Setapak,410000,4,2.0,1.0,Condominium,1272.0,Partly Furnished,Built-up ,4,Condominium
Setapak,630000,2+1,2.0,2.0,Condominium,1098.0,Partly Furnished,Built-up ,3,Condominium
Wangsa Maju,845000,4+1,3.0,2.0,2-sty Terrace/Link House (Intermediate),1500.0,Partly Furnished,Land area ,5,Terrace/Link House
Setapak,550000,4,2.0,2.0,Condominium,1500.0,Partly Furnished,Built-up ,4,Condominium
Setapak,410000,4,2.0,1.0,Condominium (Intermediate),1272.0,Partly Furnished,Built-up ,4,Condominium
Setapak,380000,3,2.0,1.0,Condominium,1169.0,Partly Furnished,Built-up ,3,Condominium
Taman Tun Dr Ismail,550000,3,2.0,1.0,Condominium,1260.0,Fully Furnished,Built-up ,3,Condominium
Taman Desa,1450000,4+1,4.0,2.0,Condominium (Intermediate),2140.0,Fully Furnished,Land area ,5,Condominium
Bukit Jalil,638000,3,2.0,2.0,Condominium (Intermediate),1232.0,Partly Furnished,Built-up ,3,Condominium
Bukit Jalil,588000,2,2.0,2.0,Condominium (Intermediate),1032.0,Partly Furnished,Built-up ,2,Condominium
Klcc,920000,2+1,3.0,1.0,Serviced Residence,1015.0,Fully Furnished,Built-up ,3,Serviced Residence
Bukit Jalil,538000,3,3.0,2.0,Condominium (Intermediate),1003.0,Unfurnished,Built-up ,3,Condominium
Bukit Jalil,500000,3+1,2.0,1.0,Condominium,1080.0,Partly Furnished,Built-up ,4,Condominium
Bukit Jalil,550000,3,3.0,2.0,Condominium (Intermediate),1003.0,Unfurnished,Built-up ,3,Condominium
Setapak,420000,3,2.0,2.0,Serviced Residence,842.0,Partly Furnished,Built-up ,3,Serviced Residence
Setapak,420000,3,2.0,2.0,Serviced Residence,842.0,Partly Furnished,Built-up ,3,Serviced Residence
Setapak,380000,3,2.0,1.0,Serviced Residence,925.0,Partly Furnished,Built-up ,3,Serviced Residence
Setapak,420000,3,2.0,2.0,Serviced Residence,842.0,Partly Furnished,Built-up ,3,Serviced Residence
Setapak,400000,2,2.0,1.0,Serviced Residence,900.0,Partly Furnished,Built-up ,2,Serviced Residence
Setapak,1200000,3,2.0,2.0,Condominium,1414.0,Partly Furnished,Built-up ,3,Condominium
Sungai Besi,730000,2+1,2.0,2.0,Serviced Residence (Intermediate),1025.0,Fully Furnished,Built-up ,3,Serviced Residence
Sri Petaling,390000,3,2.0,1.0,Condominium (Intermediate),1045.0,Partly Furnished,Built-up ,3,Condominium
Segambut,690000,3+1,3.0,2.0,Condominium,1262.0,Partly Furnished,Built-up ,4,Condominium
Damansara Heights,1770000,1+1,2.0,1.0,Serviced Residence,1152.0,Partly Furnished,Built-up ,2,Serviced Residence
Taman Desa,1400000,4+1,4.0,2.0,Condominium (Corner),2140.0,Fully Furnished,Land area ,5,Condominium
Wangsa Maju,890000,4,3.0,4.0,2-sty Terrace/Link House (Intermediate),2800.0,Partly Furnished,Built-up ,4,Terrace/Link House
Desa Pandan,1079000,2+1,2.0,2.0,Serviced Residence (Corner),1410.0,Partly Furnished,Built-up ,3,Serviced Residence
Sentul,850000,3+1,4.0,1.0,Condominium,1381.0,Partly Furnished,Built-up ,4,Condominium
Kuchai Lama,398000,3,2.0,1.0,Condominium (EndLot),980.0,Unfurnished,Built-up ,3,Condominium
Setapak,530000,4,2.0,2.0,Condominium,1378.0,Unfurnished,Built-up ,4,Condominium
Setapak,538000,3,2.0,1.0,Condominium,1473.0,Partly Furnished,Built-up ,3,Condominium
Setapak,520000,3,2.0,2.0,Condominium,1100.0,Unfurnished,Built-up ,3,Condominium
Setapak,490000,3,2.0,1.0,Serviced Residence,1040.0,Partly Furnished,Built-up ,3,Serviced Residence
Setapak,450000,4,2.0,3.0,Condominium,1328.0,Unfurnished,Built-up ,4,Condominium
Setapak,498000,4,2.0,3.0,Condominium,1328.0,Unfurnished,Built-up ,4,Condominium
Setapak,545000,3,2.0,2.0,Condominium,908.0,Unfurnished,Built-up ,3,Condominium
Jalan Kuching,420000,3,2.0,1.0,Apartment (Intermediate),1200.0,Fully Furnished,Built-up ,3,Apartment
Desa Petaling,295000,3,2.0,1.0,Apartment (Intermediate),910.0,Partly Furnished,Built-up ,3,Apartment
Jalan Kuching,520000,3,2.0,2.0,Condominium,1100.0,Fully Furnished,Built-up ,3,Condominium
Desa Parkcity,3100000,3+1,4.0,3.0,3-sty Terrace/Link House (Corner),3211.0,Partly Furnished,Built-up ,4,Terrace/Link House
Cheras,455000,3,2.0,1.0,Condominium,900.0,Partly Furnished,Built-up ,3,Condominium
Sungai Besi,1150000,5,5.0,2.0,3-sty Terrace/Link House (Intermediate),1760.0,Unfurnished,Land area ,5,Terrace/Link House
Wangsa Maju,630000,2+1,2.0,1.0,Condominium,991.0,Unfurnished,Built-up ,3,Condominium
Jalan Klang Lama (Old Klang Road),628000,3+2,1.0,1.0,Condominium (Intermediate),730.0,Partly Furnished,Built-up ,5,Condominium
Sri Petaling,340000,3,2.0,1.0,Condominium,1017.0,Partly Furnished,Built-up ,3,Condominium
Desa Petaling,450000,3,2.0,1.0,Condominium (Intermediate),1038.0,Fully Furnished,Built-up ,3,Condominium
Jalan Klang Lama (Old Klang Road),790000,3,2.0,1.0,Condominium (Intermediate),1048.0,Partly Furnished,Built-up ,3,Condominium
Bukit Jalil,560000,3,2.0,2.0,Condominium,1080.0,Partly Furnished,Built-up ,3,Condominium
Desa Petaling,348000,3,2.0,1.0,Apartment (Corner),1002.0,Partly Furnished,Built-up ,3,Apartment
Desa Petaling,440000,3,2.0,1.0,Condominium,1144.0,Fully Furnished,Built-up ,3,Condominium
Cheras,500000,3,2.0,2.0,Condominium,1050.0,Unfurnished,Built-up ,3,Condominium
Setapak,450000,3,2.0,1.0,Condominium,1280.0,Unfurnished,Built-up ,3,Condominium
City Centre,1400000,1,2.0,1.0,Serviced Residence (Intermediate),1131.0,Fully Furnished,Built-up ,1,Serviced Residence
Wangsa Maju,998000,3,2.0,2.0,Condominium (Corner),1528.0,Unfurnished,Built-up ,3,Condominium
Setapak,880000,3,3.0,2.0,Condominium (Corner),1477.0,Unfurnished,Built-up ,3,Condominium
Setapak,830000,3,3.0,2.0,Condominium,1441.0,Unfurnished,Built-up ,3,Condominium
Wangsa Maju,1280000,4,4.0,2.0,Condominium (Corner),2031.0,Partly Furnished,Built-up ,4,Condominium
Klcc,4100000,4+1,6.0,2.0,Serviced Residence (Corner),3300.0,Fully Furnished,Built-up ,5,Serviced Residence
Setapak,960000,3+1,3.0,2.0,Condominium (Corner),1610.0,Unfurnished,Built-up ,4,Condominium
Setapak,1700000,4+1,5.0,3.0,Condominium (Corner),2646.0,Unfurnished,Built-up ,5,Condominium
Setapak,1100000,3+1,4.0,2.0,Condominium (Corner),1746.0,Unfurnished,Built-up ,4,Condominium
Setapak,980000,3+1,3.0,2.0,Condominium (Corner),1610.0,Unfurnished,Built-up ,4,Condominium
Klcc,2450000,3+1,5.0,2.0,Condominium,3335.0,Fully Furnished,Built-up ,4,Condominium
Taman Melawati,500000,3,2.0,2.0,Serviced Residence,1007.0,Partly Furnished,Built-up ,3,Serviced Residence
Wangsa Maju,1000000,4+1,3.0,2.0,Condominium,1820.0,Partly Furnished,Built-up ,5,Condominium
Setapak,400000,3,2.0,1.0,Condominium,1231.0,Unfurnished,Built-up ,3,Condominium
Jalan Klang Lama (Old Klang Road),1390000,3+1,4.0,3.0,Condominium (Corner),2638.0,Partly Furnished,Built-up ,4,Condominium
Jalan Klang Lama (Old Klang Road),1438000,3+2,4.0,3.0,Condominium (Corner),2378.0,Partly Furnished,Built-up ,5,Condominium
Taman Desa,1480000,3,2.0,1.0,Condominium,2640.0,Fully Furnished,Built-up ,3,Condominium
Sri Petaling,850000,4,4.0,3.0,Condominium (Intermediate),1851.0,Fully Furnished,Land area ,4,Condominium
Jalan Sultan Ismail,430000,Studio,1.0,1.0,Serviced Residence (Intermediate),500.0,Fully Furnished,Built-up ,1,Serviced Residence
Jalan Sultan Ismail,952500,3+1,2.0,1.0,Serviced Residence (EndLot),1270.0,Fully Furnished,Built-up ,4,Serviced Residence
Keramat,1200000,4,4.0,3.0,Condominium (Intermediate),1986.0,Unfurnished,Built-up ,4,Condominium
Taman Desa,520000,2,2.0,1.0,Condominium,997.0,Fully Furnished,Built-up ,2,Condominium
Bukit Jalil,588000,3,2.0,2.0,Condominium (Corner),1069.0,Partly Furnished,Built-up ,3,Condominium
Taman Desa,600000,3,2.0,2.0,Condominium (Intermediate),1261.0,Fully Furnished,Land area ,3,Condominium
Taman Desa,900000,4+1,3.0,2.0,Condominium (Intermediate),1870.0,Fully Furnished,Land area ,5,Condominium
Taman Desa,1380000,3+1,3.0,2.0,Condominium (Intermediate),1712.0,Fully Furnished,Built-up ,4,Condominium
Sentul,640000,4,3.0,2.0,Condominium,1640.0,Unfurnished,Built-up ,4,Condominium
Mont Kiara,1280000,3+1,3.0,2.0,Condominium (Intermediate),1970.0,Fully Furnished,Built-up ,4,Condominium
Sentul,430000,3,2.0,2.0,Condominium,1230.0,Unfurnished,Built-up ,3,Condominium
Sentul,558000,3,2.0,2.0,Condominium,1230.0,Fully Furnished,Built-up ,3,Condominium
Sentul,560000,3,2.0,2.0,Condominium,1363.0,Partly Furnished,Built-up ,3,Condominium
Sentul,430000,3,2.0,2.0,Condominium,1240.0,Unfurnished,Built-up ,3,Condominium
Sentul,520000,3,2.0,2.0,Condominium,1363.0,Partly Furnished,Built-up ,3,Condominium
Desa Petaling,300000,3,2.0,1.0,Apartment (Intermediate),840.0,Fully Furnished,Land area ,3,Apartment
Taman Desa,2280000,5,4.0,2.0,2-sty Terrace/Link House (Corner),3885.0,Fully Furnished,Land area ,5,Terrace/Link House
Taman Desa,2600000,5,4.0,2.0,2-sty Terrace/Link House (Corner),3885.0,Fully Furnished,Land area ,5,Terrace/Link House
Taman Desa,7000000,6+1,6.0,6.0,Bungalow (Corner),6843.0,Fully Furnished,Land area ,7,Bungalow
Taman Desa,5500000,5,4.0,6.0,Bungalow (Intermediate),7181.0,Fully Furnished,Land area ,5,Bungalow
Kl City,380000,3,2.0,1.0,Condominium,861.0,Partly Furnished,Built-up ,3,Condominium
Taman Desa,4000000,6,5.0,6.0,Bungalow (Corner),5586.0,Unfurnished,Built-up ,6,Bungalow
Jalan Klang Lama (Old Klang Road),1088000,3,2.0,2.0,1-sty Terrace/Link House (Corner),3000.0,Partly Furnished,Built-up ,3,Terrace/Link House
Setapak,225000,2,1.0,1.0,2-sty Terrace/Link House (Intermediate),604.0,Partly Furnished,Built-up ,2,Terrace/Link House
Taman Tun Dr Ismail,1480000,2+1,3.0,2.0,Serviced Residence,1690.0,Fully Furnished,Built-up ,3,Serviced Residence
Ampang Hilir,1010000,1+1,1.0,1.0,Serviced Residence (Intermediate),942.0,Fully Furnished,Built-up ,2,Serviced Residence
Ampang Hilir,570000,Studio,1.0,1.0,Serviced Residence (Intermediate),502.0,Fully Furnished,Built-up ,1,Serviced Residence
Bukit Jalil,600000,3,2.0,2.0,Condominium (Intermediate),1234.0,Partly Furnished,Built-up ,3,Condominium
Bukit Jalil,700000,3,2.0,2.0,Condominium,1300.0,Fully Furnished,Built-up ,3,Condominium
Sri Petaling,408000,3,2.0,1.0,Condominium (Intermediate),1129.0,Partly Furnished,Built-up ,3,Condominium
Klcc,5179400,3+1,3.0,2.0,Serviced Residence,1786.0,Fully Furnished,Built-up ,4,Serviced Residence
Klcc,9500000,4+1,4.0,2.0,Condominium,3628.0,Partly Furnished,Built-up ,5,Condominium
Klcc,2500000,1+1,2.0,1.0,Serviced Residence,1087.0,Partly Furnished,Built-up ,2,Serviced Residence
City Centre,6500000,3+2,3.0,2.0,Condominium,3750.0,Fully Furnished,Built-up ,5,Condominium
Klcc,3261000,1+1,2.0,1.0,Serviced Residence,1087.0,Fully Furnished,Built-up ,2,Serviced Residence
City Centre,5913000,3+2,4.0,2.0,Condominium,3285.0,Partly Furnished,Built-up ,5,Condominium
Sungai Besi,1250000,5,5.0,3.0,3-sty Terrace/Link House (Intermediate),1920.0,Unfurnished,Land area ,5,Terrace/Link House
Taman Tun Dr Ismail,1300000,4,3.0,3.0,2-sty Terrace/Link House (Intermediate),1650.0,Partly Furnished,Land area ,4,Terrace/Link House
Cheras,515000,3,2.0,1.0,Serviced Residence (Intermediate),1097.0,Partly Furnished,Built-up ,3,Serviced Residence
Kepong,438000,3,2.0,1.0,Apartment (Corner),1001.0,Partly Furnished,Built-up ,3,Apartment
Bangsar,1180000,2+1,3.0,3.0,Condominium (Intermediate),1552.0,Partly Furnished,Built-up ,3,Condominium
Mont Kiara,2630000,4+2,5.0,3.0,Condominium (Corner),3401.0,Partly Furnished,Built-up ,6,Condominium
Wangsa Maju,460000,3,3.0,2.0,Condominium,1267.0,Partly Furnished,Built-up ,3,Condominium
Wangsa Maju,460000,3,3.0,2.0,Condominium,1267.0,Partly Furnished,Built-up ,3,Condominium
Bukit Jalil,580000,3,2.0,2.0,Condominium (Corner),1073.0,Fully Furnished,Built-up ,3,Condominium
Bukit Jalil,615000,4,2.0,2.0,Condominium (Intermediate),1212.0,Partly Furnished,Built-up ,4,Condominium
Kl Sentral,1100000,2,2.0,1.0,Condominium (Intermediate),1135.0,Fully Furnished,Built-up ,2,Condominium
Kl Sentral,2400000,4+1,4.0,1.0,Condominium (Corner),3029.0,Partly Furnished,Built-up ,5,Condominium
Taman Melawati,1650000,4,4.0,2.0,Townhouse,2400.0,Partly Furnished,Built-up ,4,Townhouse
Klcc,1050000,3,2.0,1.0,Serviced Residence,820.0,Fully Furnished,Built-up ,3,Serviced Residence
Taman Tun Dr Ismail,780000,3,3.0,1.0,Serviced Residence,1020.0,Fully Furnished,Built-up ,3,Serviced Residence
Setapak,300000,3,2.0,2.0,Condominium,931.0,Partly Furnished,Built-up ,3,Condominium
Klcc,2250000,2+1,3.0,1.0,Serviced Residence,1600.0,Fully Furnished,Built-up ,3,Serviced Residence
Klcc,1600000,3+1,4.0,2.0,Condominium (Corner),2315.0,Partly Furnished,Built-up ,4,Condominium
Bukit Bintang,1400000,3,3.0,2.0,Serviced Residence (Corner),1555.0,Fully Furnished,Built-up ,3,Serviced Residence
Bukit Bintang,4000000,3+2,4.0,2.0,Serviced Residence,2645.0,Fully Furnished,Built-up ,5,Serviced Residence
Cheras,820000,3,2.0,2.0,Condominium,1389.0,Partly Furnished,Built-up ,3,Condominium
Mont Kiara,550000,2,2.0,1.0,Condominium,931.0,Partly Furnished,Built-up ,2,Condominium
Mont Kiara,648000,3,2.0,2.0,Condominium,1049.0,Fully Furnished,Built-up ,3,Condominium
Sri Petaling,525000,3,2.0,1.0,Condominium (Intermediate),1200.0,Fully Furnished,Land area ,3,Condominium
Sri Petaling,1280000,5,4.0,4.0,2-sty Terrace/Link House (Intermediate),1650.0,Partly Furnished,Land area ,5,Terrace/Link House
Mont Kiara,600000,2+1,2.0,1.0,Condominium,1000.0,Fully Furnished,Built-up ,3,Condominium
Setapak,620000,3,2.0,2.0,1-sty Terrace/Link House (Intermediate),1600.0,Partly Furnished,Built-up ,3,Terrace/Link House
Setapak,700000,3,2.0,2.0,1-sty Terrace/Link House (Intermediate),1600.0,Partly Furnished,Built-up ,3,Terrace/Link House
Setapak,530000,4,2.0,2.0,Condominium (Intermediate),1313.0,Unfurnished,Built-up ,4,Condominium
Setapak,760000,5,3.0,2.0,2-sty Terrace/Link House,1800.0,Unfurnished,Land area ,5,Terrace/Link House
Setapak,760000,5,3.0,2.0,2-sty Terrace/Link House,1800.0,Unfurnished,Land area ,5,Terrace/Link House
Setapak,490000,4,2.0,2.0,Condominium (Intermediate),1313.0,Partly Furnished,Built-up ,4,Condominium
Wangsa Maju,460000,3,2.0,1.0,Condominium,1150.0,Fully Furnished,Built-up ,3,Condominium
Setapak,620000,3,2.0,2.0,1-sty Terrace/Link House (Intermediate),1600.0,Partly Furnished,Land area ,3,Terrace/Link House
Batu Caves,700000,5,3.0,2.0,2.5-sty Terrace/Link House (Intermediate),1400.0,Partly Furnished,Land area ,5,Terrace/Link House
Setapak,660000,3+1,3.0,3.0,Condominium (Intermediate),1530.0,Partly Furnished,Built-up ,4,Condominium
Wangsa Maju,700000,5+1,4.0,2.0,Condominium,2560.0,Partly Furnished,Built-up ,6,Condominium
Jalan Kuching,360000,3,2.0,1.0,Apartment (Corner),1221.0,Partly Furnished,Built-up ,3,Apartment
Setapak,490000,4,2.0,3.0,Condominium (Intermediate),1313.0,Partly Furnished,Built-up ,4,Condominium
Setapak,510000,3,2.0,2.0,Condominium (Intermediate),1313.0,Partly Furnished,Built-up ,3,Condominium
Setapak,500000,4,2.0,3.0,Condominium (Intermediate),1333.0,Unfurnished,Built-up ,4,Condominium
Setapak,630000,3,2.0,2.0,1-sty Terrace/Link House (Intermediate),1600.0,Partly Furnished,Land area ,3,Terrace/Link House
Wangsa Maju,450000,3+1,3.0,2.0,Condominium,1267.0,Partly Furnished,Built-up ,4,Condominium
Wangsa Maju,450000,3+1,3.0,2.0,Condominium,1267.0,Partly Furnished,Built-up ,4,Condominium
Taman Melawati,550000,3,2.0,1.0,1-sty Terrace/Link House (Intermediate),22.0,Partly Furnished,Land area ,3,Terrace/Link House
Wangsa Maju,450000,3,2.0,1.0,Condominium,1150.0,Fully Furnished,Built-up ,3,Condominium
Wangsa Maju,450000,3,2.0,1.0,Condominium,1150.0,Fully Furnished,Built-up ,3,Condominium
Wangsa Maju,700000,5+1,4.0,2.0,Condominium,2560.0,Partly Furnished,Built-up ,6,Condominium
Batu Caves,700000,5,3.0,2.0,2.5-sty Terrace/Link House (Intermediate),1400.0,Partly Furnished,Land area ,5,Terrace/Link House
Setapak,1450000,5,3.0,4.0,Semi-detached House,3200.0,Partly Furnished,Land area ,5,Semi-detached House
Setapak,1450000,5,3.0,4.0,Semi-detached House,3200.0,Partly Furnished,Land area ,5,Semi-detached House
Setapak,330000,3,2.0,1.0,Apartment,800.0,Partly Furnished,Built-up ,3,Apartment
Jalan Kuching,360000,3,2.0,1.0,Apartment (Corner),1221.0,Partly Furnished,Built-up ,3,Apartment
Setapak,1020000,4,3.0,2.0,2.5-sty Terrace/Link House (Intermediate),2500.0,Partly Furnished,Built-up ,4,Terrace/Link House
Klcc,1500000,3+1,5.0,2.0,Condominium (Corner),2098.0,Partly Furnished,Built-up ,4,Condominium
Klcc,2850000,4+1,5.0,3.0,Condominium (Duplex),3502.0,Partly Furnished,Built-up ,5,Condominium
Klcc,1750000,4+1,5.0,2.0,Condominium (Corner),2315.0,Partly Furnished,Built-up ,5,Condominium
Klcc,1800000,3+1,5.0,2.0,Condominium (Corner),2098.0,Fully Furnished,Built-up ,4,Condominium
Klcc,1900000,4+1,5.0,2.0,Condominium (Corner),2315.0,Partly Furnished,Built-up ,5,Condominium
Bangsar,850000,2,1.0,1.0,Serviced Residence,790.0,Partly Furnished,Built-up ,2,Serviced Residence
Damansara Heights,2540000,3+1,4.0,3.0,Serviced Residence (Corner),2077.0,Partly Furnished,Built-up ,4,Serviced Residence
Klcc,2500000,4+1,6.0,3.0,Serviced Residence (Corner),3300.0,Partly Furnished,Built-up ,5,Serviced Residence
Damansara Heights,1879100,2,2.0,2.0,Serviced Residence (Duplex),1634.0,Partly Furnished,Built-up ,2,Serviced Residence
Sentul,340000,3,2.0,1.0,Condominium,877.0,Partly Furnished,Built-up ,3,Condominium
Mont Kiara,2000000,3+1,4.0,3.0,Condominium,2535.0,Partly Furnished,Built-up ,4,Condominium
Bukit Jalil,295000,2,2.0,1.0,Apartment (Intermediate),720.0,Partly Furnished,Built-up ,2,Apartment
Setapak,695000,3+1,3.0,2.0,Condominium,1362.0,Partly Furnished,Built-up ,4,Condominium
Setapak,610000,3+1,2.0,2.0,Condominium,1362.0,Partly Furnished,Built-up ,4,Condominium
Setapak,510000,4,2.0,1.0,Condominium,1450.0,Fully Furnished,Built-up ,4,Condominium
Taman Desa,398000,3,2.0,1.0,Condominium (Corner),938.0,Fully Furnished,Built-up ,3,Condominium
Setapak,590000,3,2.0,2.0,Condominium,1450.0,Partly Furnished,Built-up ,3,Condominium
Setapak,550000,4,2.0,2.0,Condominium,2100.0,Partly Furnished,Built-up ,4,Condominium
Klcc,830000,Studio,1.0,1.0,Serviced Residence,473.0,Fully Furnished,Built-up ,1,Serviced Residence
Cheras,460000,2,2.0,1.0,Condominium (Intermediate),900.0,Partly Furnished,Built-up ,2,Condominium
Jalan Klang Lama (Old Klang Road),358000,3,2.0,2.0,Serviced Residence (Intermediate),950.0,Partly Furnished,Built-up ,3,Serviced Residence
Ampang,1700000,4,3.0,3.0,2-sty Terrace/Link House (EndLot),2375.0,Partly Furnished,Land area ,4,Terrace/Link House
Mont Kiara,688000,3,2.0,1.0,Serviced Residence,1062.0,Fully Furnished,Built-up ,3,Serviced Residence
Kuchai Lama,555000,3,2.0,2.0,Condominium,1313.0,Partly Furnished,Built-up ,3,Condominium
Ampang Hilir,10267000,4+1,6.0,3.0,Condominium (Penthouse),7901.0,Partly Furnished,Built-up ,5,Condominium
Cheras,515000,2,2.0,1.0,Serviced Residence (Intermediate),736.0,Partly Furnished,Built-up ,2,Serviced Residence
Cheras,720000,3,2.0,2.0,Serviced Residence (Corner),931.0,Partly Furnished,Built-up ,3,Serviced Residence
Cheras,875000,4,2.0,2.0,Serviced Residence (Intermediate),1278.0,Partly Furnished,Built-up ,4,Serviced Residence
Cheras,485000,2,2.0,1.0,Serviced Residence (Intermediate),700.0,Partly Furnished,Built-up ,2,Serviced Residence
Cheras,610000,3,2.0,2.0,Serviced Residence (Intermediate),865.0,Partly Furnished,Built-up ,3,Serviced Residence
Cheras,515000,2,2.0,1.0,Serviced Residence (Intermediate),736.0,Partly Furnished,Built-up ,2,Serviced Residence
Cheras,1080000,4,4.0,2.0,Condominium (Corner),1672.0,Partly Furnished,Built-up ,4,Condominium
Cheras,370000,1+1,1.0,1.0,Serviced Residence (Corner),610.0,Fully Furnished,Built-up ,2,Serviced Residence
Bukit Tunku (Kenny Hills),1900000,3+1,4.0,4.0,Condominium,2400.0,Partly Furnished,Built-up ,4,Condominium
Bukit Tunku (Kenny Hills),2280000,3+1,4.0,4.0,Condominium,2368.0,Fully Furnished,Built-up ,4,Condominium
Desa Parkcity,2800000,3+1,4.0,3.0,3-sty Terrace/Link House,3211.0,Partly Furnished,Built-up ,4,Terrace/Link House
Desa Parkcity,2950000,3+1,4.0,3.0,3-sty Terrace/Link House,3211.0,Partly Furnished,Built-up ,4,Terrace/Link House
Desa Parkcity,2650000,3+1,4.0,3.0,3-sty Terrace/Link House,3211.0,Unfurnished,Built-up ,4,Terrace/Link House
Segambut,620000,3,3.0,2.0,Condominium,1155.0,Partly Furnished,Built-up ,3,Condominium
Segambut,821000,4,3.0,3.0,Condominium,1614.0,Partly Furnished,Built-up ,4,Condominium
Segambut,700000,3,3.0,2.0,Condominium,1203.0,Partly Furnished,Built-up ,3,Condominium
Jalan Kuching,998000,3+1,3.0,2.0,Condominium,1800.0,Fully Furnished,Built-up ,4,Condominium
Jalan Kuching,1195000,3+1,3.0,2.0,Condominium,1800.0,Fully Furnished,Built-up ,4,Condominium
Desa Parkcity,1810000,3+1,2.0,2.0,Condominium,1637.0,Fully Furnished,Built-up ,4,Condominium
Desa Parkcity,1550000,3,2.0,1.0,Condominium,1346.0,Fully Furnished,Built-up ,3,Condominium
Mont Kiara,720000,3,2.0,1.0,Condominium,1280.0,Partly Furnished,Built-up ,3,Condominium
City Centre,1350000,3+1,3.0,2.0,Condominium,2633.0,Fully Furnished,Built-up ,4,Condominium
City Centre,1050000,2+1,3.0,1.0,Condominium,1347.0,Fully Furnished,Built-up ,3,Condominium
Desa Parkcity,1500000,2,2.0,2.0,Condominium,1292.0,Fully Furnished,Built-up ,2,Condominium
Cheras,348000,3,3.0,1.0,Apartment,790.0,Fully Furnished,Built-up ,3,Apartment
Bukit Jalil,930000,3,2.0,2.0,Serviced Residence (Intermediate),1218.0,Fully Furnished,Built-up ,3,Serviced Residence
Cheras,198000,3,2.0,1.0,Apartment,753.0,Partly Furnished,Built-up ,3,Apartment
Bukit Jalil,998000,3+1,3.0,3.0,Condominium (Corner),1508.0,Partly Furnished,Built-up ,4,Condominium
Bangsar South,1374000,2+1,2.0,1.0,Serviced Residence,1145.0,Partly Furnished,Built-up ,3,Serviced Residence
Jalan Klang Lama (Old Klang Road),1450000,3+2,4.0,3.0,Condominium,2378.0,Partly Furnished,Built-up ,5,Condominium
Setapak,450000,3,2.0,1.0,2-sty Terrace/Link House (Intermediate),880.0,Partly Furnished,Land area ,3,Terrace/Link House
Taman Tun Dr Ismail,3000000,6,5.0,4.0,Semi-detached House,3300.0,Fully Furnished,Land area ,6,Semi-detached House
Taman Tun Dr Ismail,1700000,4,3.0,2.0,2-sty Terrace/Link House (Intermediate),1800.0,Partly Furnished,Land area ,4,Terrace/Link House
Setiawangsa,7000000,8+,10.0,8.0,Bungalow (Intermediate),8000.0,Fully Furnished,Land area ,8,Bungalow
Taman Melawati,650000,4,3.0,2.0,2-sty Terrace/Link House (Intermediate),1260.0,Partly Furnished,Land area ,4,Terrace/Link House
Jalan Klang Lama (Old Klang Road),500000,3,3.0,2.0,Condominium (Intermediate),1250.0,Unfurnished,Built-up ,3,Condominium
Jalan Klang Lama (Old Klang Road),477000,3,3.0,2.0,Condominium (Intermediate),1250.0,Unfurnished,Built-up ,3,Condominium
Sungai Besi,655000,3,2.0,2.0,Serviced Residence (Intermediate),1025.0,Fully Furnished,Built-up ,3,Serviced Residence
Sri Hartamas,3600000,5,6.0,4.0,Semi-detached House,3600.0,Partly Furnished,Land area ,5,Semi-detached House
Bukit Bintang,1360000,3,2.0,2.0,Serviced Residence (Corner),1555.0,Fully Furnished,Built-up ,3,Serviced Residence
Bangsar South,610000,1,1.0,1.0,Serviced Residence (Intermediate),638.0,Fully Furnished,Built-up ,1,Serviced Residence
Jalan Klang Lama (Old Klang Road),520000,3,3.0,3.0,Condominium (Corner),1250.0,Unfurnished,Built-up ,3,Condominium
Jalan Klang Lama (Old Klang Road),495000,3,3.0,3.0,Condominium (Corner),1250.0,Unfurnished,Built-up ,3,Condominium
Klcc,990000,1,1.0,1.0,Serviced Residence (Intermediate),655.0,Fully Furnished,Built-up ,1,Serviced Residence
Mont Kiara,1420000,3+1,4.0,2.0,Condominium (Corner),1496.0,Partly Furnished,Built-up ,4,Condominium
Klcc,1250000,3,3.0,2.0,Serviced Residence (Intermediate),1184.0,Fully Furnished,Built-up ,3,Serviced Residence
Damansara Heights,6082880,5+1,6.0,2.0,Serviced Residence (Corner),3078.0,Fully Furnished,Built-up ,6,Serviced Residence
Bukit Jalil,620000,3,2.0,2.0,Condominium,1206.0,Partly Furnished,Built-up ,3,Condominium
Kl City,950000,2,2.0,2.0,Serviced Residence,674.0,Fully Furnished,Built-up ,2,Serviced Residence
Bangsar,5500000,5+2,7.0,4.0,Bungalow (Intermediate),7100.0,Partly Furnished,Land area ,7,Bungalow
